Generation No.	Best Distance	Average Distance
0	10458.3571544	15698.9153485
1	10360.2908944	15570.187946
2	10470.7048804	15585.9735041
3	10313.5726636	15604.5454673
4	10222.7642626	15648.759589
5	10222.7642626	15274.6783266
6	10367.9394918	15223.065641
7	10138.8836787	15449.6530423
8	10197.6182193	15381.6044691
9	10244.3394626	15538.8744713
10	10244.3394626	15677.2401468
11	10232.7760733	15832.7775881
12	10217.7105174	15870.8743009
13	10342.0040784	15784.92773
14	10110.246085	15817.5645549
15	10011.043044	15388.3335245
16	10022.7506263	15398.4235992
17	10038.6076653	15266.7897801
18	10022.8222122	15278.0325918
19	9993.65755489	15353.2844517
20	9993.65755489	15152.3465488
21	9963.74732612	15133.120356
22	10022.8964916	15416.8005863
23	9982.01521171	15689.0397824
24	10061.554409	15510.2781241
25	10215.2305995	15639.7656534
26	10059.0836475	15659.2227139
27	10013.6451739	15723.3092943
28	10011.9964876	15241.5218992
29	10055.8794731	15490.1345974
30	10052.6409645	15382.5848045
31	10059.1695523	15288.9642119
32	10059.1695523	15243.3709411
33	10124.3679999	15353.7356377
34	10125.2510147	15409.5099391
35	10126.0117223	15691.2029858
36	10238.1062419	15762.057531
37	10272.735521	15756.8915773
38	10142.6004968	15407.081396
39	10142.6004968	15209.3377769
40	10077.5074043	15120.7406316
41	10132.312031	15347.6292832
42	10039.792885	15689.5558056
43	10298.8083584	15789.0188265
44	10311.7876139	16146.6221722
45	10149.2279928	16180.1705171
46	10234.6340951	15918.1554286
47	10141.2370742	15579.2273906
48	10096.9103345	15774.1781425
49	10112.3561261	15528.0576621
50	10141.2370742	15731.8335547
51	10141.2370742	15617.2349239
52	10135.6381594	15462.6929847
53	10104.7940817	15554.7673782
54	10147.1916209	15264.5660165
55	10083.1443062	15381.7202094
56	10041.3605245	15564.8646922
57	10083.1443062	15528.3405077
58	10149.9161827	15243.1835742
59	10188.316234	15457.0610353
60	10101.1361178	15477.7831034
61	10055.8877485	15274.0099846
62	10033.997238	15269.6870839
63	10081.4934789	15286.8882608
64	10081.4934789	15696.8152087
65	9943.8379937	15527.5013168
66	9943.8379937	15785.0445236
67	9997.33127332	15738.0724026
68	10185.1637983	15679.1825814
69	10101.5980105	15439.019674
70	10047.116692	15533.5749159
71	10146.301479	15264.8750552
72	10105.3992146	15578.3596174
73	10105.3992146	15419.3017789
74	10215.314458	15216.7030026
75	10112.1901058	15155.0402582
76	10163.7742458	15396.8873311
77	10153.0158634	15194.5505987
78	10125.8604162	15355.7738437
79	10150.9224878	15441.5838729
80	10067.0566555	15372.9987163
81	10012.9758751	15324.4141656
82	10050.839586	15173.0992262
83	10027.7784566	15314.1411079
84	10027.7784566	15507.2402429
85	10055.1646218	15734.3632894
86	9993.04623578	15583.7587421
87	10268.875275	15497.5067347
88	10209.689107	15508.0258537
89	10209.689107	15389.5418595
90	10116.7171647	15445.4936972
91	10376.3320481	15585.7760377
92	10177.5494951	15599.402433
93	10152.7224088	15399.1212027
94	10095.4685091	15545.0436978
95	10095.4685091	15572.0759623
96	10186.709801	15595.2593936
97	10076.774583	15821.5893411
98	10076.774583	15865.4671841
99	10309.5238487	16091.6129415
100	10307.4672284	16224.6323346
101	10135.5269224	15936.452187
102	10495.1042483	16138.2981688
103	10441.0345626	16026.2582139
104	10259.2948656	15909.3361845
105	10121.2932039	16100.1690217
106	10171.1377942	15829.0942724
107	10301.2474295	15737.3074901
108	10170.549983	15798.4704354
109	10337.0983078	15739.2197426
110	10040.7070296	15830.7218291
111	10001.3423801	15760.26616
112	10146.004176	15414.9237785
113	10068.4348999	15690.4267533
114	10108.1413677	15545.8881902
115	9971.28915571	15462.7679305
116	10045.2274126	15676.0988854
117	10021.7486234	15541.3078109
118	10019.2353434	15420.5191809
119	9966.62515877	15266.5779949
120	9954.06331646	15353.0313055
121	9904.17581527	15150.2577788
122	9904.17581527	15077.7180665
123	9904.17581527	15077.018855
124	9904.17581527	15136.8175651
125	9904.17581527	15015.3499437
126	9904.17581527	15057.7983789
127	9889.99168351	15181.7800429
128	9889.99168351	15196.9720226
129	9860.08145475	15205.918433
130	9941.36451672	15210.4348129
131	9941.36451672	15353.838981
132	9923.02032745	15310.784153
133	9984.99414424	15038.6294567
134	10016.1004193	15316.4645241
135	10033.0703096	15374.642424
136	9974.09400394	15353.9396598
137	9958.59392771	15099.7412125
138	10003.3706056	15216.6709762
139	9974.92921367	15267.9404501
140	9974.92921367	15465.3784709
141	9920.44376367	15226.8359567
142	9903.89307185	15172.5772581
143	9949.92632186	15163.2969468
144	9915.66045009	15327.2800219
145	9950.42296162	15493.4695533
146	9961.67544549	15321.0262627
147	9961.20249593	15169.5059964
148	9906.18000746	15283.7966438
149	9904.48494073	15160.5721559
150	9899.33658725	15454.132179
151	9949.81398213	15486.7800546
152	9919.5555266	15481.789469
153	9963.71029657	15177.6410912
154	10031.5707055	15404.4255001
155	9931.05408791	15630.1412701
156	10038.9262461	15488.3167112
157	10049.9202181	15618.8706589
158	9966.22130228	15678.8500017
159	10193.8610041	15829.419603
160	9959.09085095	15662.2869255
161	10000.8592671	15338.0172777
162	10044.4296405	15226.6374162
163	9960.72170503	15496.3352233
164	9944.12106924	15608.320096
165	9925.73950616	15068.3461512
166	9942.62013337	15298.1051328
167	9927.84101155	15556.3690794
168	9874.67120408	15543.6107602
169	9901.51568815	15848.0664396
170	9927.64023901	15883.5504387
171	9933.46045841	15721.8187247
172	9923.05642121	15772.3688561
173	10164.8539291	15925.4337928
174	10147.1503936	15875.6627267
175	9936.26336963	15615.7358697
176	9992.59921361	15434.2049744
177	10200.7675593	15741.6570846
178	10198.2728214	15696.5871551
179	10276.083193	16065.4716693
180	10277.8833744	15847.3001807
181	10130.7305395	15792.9974146
182	10220.7683705	15764.7283397
183	10176.0928397	15645.3006034
184	10130.8178234	15487.6414554
185	10159.099262	15615.0531305
186	10123.4408601	15690.346404
187	10167.2556923	15716.241686
188	10122.8101639	15717.1870778
189	10122.8101639	15536.7163021
190	10115.6791245	15734.3098994
191	10092.3480249	15576.2352076
192	10192.7497647	15265.151937
193	10138.0398898	15650.1084831
194	10138.0398898	15610.5543627
195	10042.8555631	15476.5483416
196	10015.5905231	15303.2804833
197	10094.8339865	15352.2626422
198	10046.3203335	15323.8886456
199	10139.4590207	15484.2483808
200	10208.314079	15460.5648365
201	10089.8766943	15300.3515074
202	10201.9814363	15342.0943025
203	10068.7151666	15174.5521651
204	10103.8217296	15313.9617507
205	10084.5312592	15400.5533287
206	10084.5312592	15395.7250598
207	10282.3073244	15416.2049936
208	10278.9529495	15234.2123979
209	10274.8285692	15462.8374931
210	10181.4935079	15395.908466
211	10146.3763393	15755.8465234
212	10200.0490186	15068.2112256
213	10193.3781598	15313.5323755
214	10140.2101549	15656.7365712
215	10299.0928004	15812.1209067
216	10554.4419908	15826.5824276
217	10488.2265295	15688.700364
218	10304.6336397	15773.1541781
219	10433.2920209	15493.6827289
220	10395.1844532	15820.5364809
221	10346.5276929	15371.4469756
222	10423.07833	15798.2966241
223	10380.0451651	15996.9777187
224	10352.4112848	15478.7527635
