Generation No.	Best Distance	Average Distance
0	22282.5442556	26563.0219567
1	20439.340104	25254.7134271
2	19101.8957916	24219.4351448
3	18635.521286	23619.0700631
4	17925.1721287	23106.4932358
5	17451.8535479	22542.8711519
6	17465.6528399	22263.1983884
7	16873.5093685	21650.6108338
8	16874.5008383	21428.3865317
9	16305.1500334	21262.2562489
10	16210.1504434	20959.4064956
11	15539.7052024	20913.4628113
12	15539.7052024	20835.9113882
13	15166.1906324	20614.7966644
14	15224.0654028	20034.4581173
15	15300.8980484	20232.4888865
16	14480.4772995	20096.4368966
17	15012.4025289	20077.2239159
18	14702.3715152	19916.0691572
19	14590.0170885	19958.5736457
20	14304.6612409	19946.5285774
21	14291.5626616	19546.8822329
22	14051.0935105	19302.5758022
23	14151.5516956	19397.8736379
24	13869.489165	19253.5920142
25	13883.4369871	19133.689334
26	13860.8453023	19010.0323765
27	13999.5818009	18948.6045351
28	13979.3637852	18769.4222011
29	13895.0294707	18674.7212134
30	13762.607177	18882.4350777
31	13664.7469368	18669.477253
32	13615.3167555	18658.6370616
33	13516.6779181	18723.5304872
34	13285.9199395	18683.8749291
35	13361.7531081	18817.9178975
36	13489.8886804	18802.7935953
37	13515.4519085	18686.9864663
38	13349.6089849	18840.424887
39	13776.8072302	18917.0202817
40	13403.2747886	18836.7675991
41	13581.8716705	18676.8223953
42	12910.9423704	18598.8417671
43	12994.5206331	18598.1056962
44	13348.3992872	18693.7372027
45	13206.7186404	18651.0666003
46	13493.8834009	18685.4969857
47	13260.0261739	18580.6067376
48	13366.1824843	18687.7324257
49	12854.194163	18606.9699839
50	11872.3791788	18513.8148424
51	11801.3354694	18558.7043515
52	12393.4709685	18604.7531432
53	12129.4143958	18525.8286617
54	12679.4439176	18352.6896747
55	12181.3960593	18304.4121559
56	12181.3960593	18078.6013303
57	12051.5259911	17887.7715491
58	12211.7069348	17888.171127
59	12549.2502936	17925.505268
60	12130.9405615	17899.8440175
61	12130.9405615	17856.5810034
62	12397.3788035	17874.337021
63	12427.7318227	17945.6943468
64	12854.9407705	17946.2860121
65	12924.7420119	18332.5351641
66	12154.9487116	18608.7483381
67	12638.9895038	18380.5487053
68	12190.886093	18629.8082385
69	12045.1060089	18399.7013007
70	12769.2528589	18089.8170325
71	12341.6937792	18359.0850221
72	12373.7190751	18174.1848446
73	12901.8524532	18129.6917617
74	12721.8949021	18418.5104755
75	12907.5844531	18318.4602872
76	12690.5867963	18282.3242945
77	12780.4412576	18046.1487465
78	13106.3868762	18202.2386076
79	12904.6572078	18518.2086529
80	12981.4851236	18525.0139817
81	13364.5018457	18550.6234753
82	12870.8880667	18370.40446
83	12329.2448002	18397.9772533
84	12438.3426659	18262.7336854
85	12438.3426659	18168.9692937
86	13105.5046575	18226.7573996
87	12602.4070723	18430.1824919
88	12585.7644269	18476.4759597
89	12801.145567	18321.2437331
90	12999.2591602	18380.4221118
91	13099.8071649	18369.5194198
92	13121.0164185	18416.4793025
93	12745.3578201	18385.0959247
94	12847.7147543	18206.377159
95	12640.4693361	18010.8934035
96	12616.7591589	18274.055763
97	12616.7591589	18156.5363687
98	12510.8314601	18330.8948642
99	13015.4330825	18373.8615911
100	12915.175734	18444.8633003
101	12581.2576028	18436.5997339
102	12760.4448076	17951.0443733
103	12496.0057975	18064.564021
104	12331.3647893	17951.0926295
105	12253.7272673	18135.6321361
106	12368.0955507	17931.7003837
107	12005.5208398	17808.5679717
108	12196.9083318	17843.9651625
109	12076.4410185	17786.9687535
110	11722.5757924	17814.4868093
111	12011.2426389	17913.876273
112	11743.4684548	17552.4684449
113	11764.5742526	17454.0765259
114	12149.0019671	17601.002683
115	11865.2908633	17835.4873221
116	12126.3791307	17883.1933566
117	11867.9391983	17748.4369451
118	12334.5841903	17685.74534
119	12246.936878	17805.168954
120	12460.3329223	17805.2425775
121	12450.7332746	17784.464693
122	12817.1321252	17981.7318956
123	12204.1895225	17928.9360128
124	12543.6687508	17778.1835319
125	12635.2749307	17749.9992418
126	12309.6845973	17770.8703898
127	12381.3839158	17624.9895059
128	12509.3980539	17611.6872919
129	12426.4923889	17707.0260415
130	12426.4923889	17805.7811063
131	12342.4517584	17779.9650832
132	12442.610396	17859.6099195
133	12427.3185598	17816.3743206
134	12439.5731755	17936.9119599
135	12260.4505754	18025.7650996
136	12567.0801473	17962.6716834
137	12532.2410962	18110.095277
138	12888.5957994	18202.0107217
139	12307.634334	18397.5154094
140	12729.1603418	18670.7911153
141	12947.1107425	18436.6506467
142	12947.1107425	18519.9064968
143	12775.3835356	18496.7937795
144	12549.5410322	18428.2939773
145	12422.6063467	18436.1386678
146	12136.5381028	18067.4834987
147	11933.5411396	17857.6201974
148	11751.3982976	17710.6517833
149	12185.0982586	17675.7481012
Best Order: [30, 49, 28, 29, 1, 6, 41, 16, 20, 22, 15, 48, 33, 34, 19, 2, 17, 21, 31, 36, 11, 3, 14, 5, 42, 32, 50, 25, 46, 26, 12, 13, 51, 10, 27, 45, 23, 4, 18, 9, 8, 7, 40, 44, 38, 43, 24, 35, 0, 47, 39, 37]
Best Distance: 11722.5757924
Mutation Rate: 10.00%	Cross over rate: 100.00%
