Generation No.	Best Distance	Average Distance
0	21659.0708201	26864.7929159
1	21621.4561915	25302.3725529
2	20417.8646929	22947.6364953
3	19038.2937625	23306.8540572
4	17780.2282711	20932.6593938
5	16895.6567363	20010.3916979
6	16638.2837476	18452.7859722
7	15883.9603867	18017.5137815
8	15593.8640973	17682.7800495
9	15409.580177	15853.5696773
10	15027.1546882	15630.6651334
11	14716.711158	15432.8551357
12	14470.0893899	15070.4711947
13	14156.5900603	14755.4901952
14	14156.5900603	14244.3846224
15	14156.5900603	14156.5900603
16	14156.5900603	14156.5900603
17	14156.5900603	14156.5900603
18	14156.5900603	14156.5900603
19	14156.5900603	14156.5900603
20	14156.5900603	14156.5900603
21	14156.5900603	14156.5900603
22	14156.5900603	14156.5900603
23	14156.5900603	14156.5900603
24	14156.5900603	14156.5900603
25	14156.5900603	14156.5900603
26	14156.5900603	14156.5900603
27	14156.5900603	14156.5900603
28	14156.5900603	14156.5900603
29	14156.5900603	14156.5900603
30	14156.5900603	14156.5900603
31	14156.5900603	14156.5900603
32	14156.5900603	14156.5900603
33	14156.5900603	14156.5900603
34	14156.5900603	14156.5900603
35	14156.5900603	14156.5900603
36	14156.5900603	14156.5900603
37	14156.5900603	14156.5900603
38	14156.5900603	14156.5900603
39	14156.5900603	14156.5900603
40	14156.5900603	14156.5900603
41	14156.5900603	14156.5900603
42	14156.5900603	14156.5900603
43	14156.5900603	14156.5900603
44	14156.5900603	14156.5900603
45	14156.5900603	14156.5900603
46	14156.5900603	14156.5900603
47	14156.5900603	14156.5900603
48	14156.5900603	14156.5900603
49	14156.5900603	14156.5900603
50	14156.5900603	14156.5900603
51	14156.5900603	14156.5900603
52	14156.5900603	14156.5900603
53	14156.5900603	14156.5900603
54	14156.5900603	14156.5900603
55	14156.5900603	14156.5900603
56	14156.5900603	14156.5900603
57	14156.5900603	14156.5900603
58	14156.5900603	14156.5900603
59	14156.5900603	14156.5900603
60	14156.5900603	14156.5900603
61	14156.5900603	14156.5900603
62	14156.5900603	14156.5900603
63	14156.5900603	14156.5900603
64	14156.5900603	14156.5900603
65	14156.5900603	14156.5900603
66	14156.5900603	14156.5900603
67	14156.5900603	14156.5900603
68	14156.5900603	14156.5900603
69	14156.5900603	14156.5900603
70	14156.5900603	14156.5900603
71	14156.5900603	14156.5900603
72	14156.5900603	14156.5900603
73	14156.5900603	14156.5900603
74	14156.5900603	14156.5900603
75	14156.5900603	14156.5900603
76	14156.5900603	14156.5900603
77	14156.5900603	14156.5900603
78	14156.5900603	14156.5900603
79	14156.5900603	14156.5900603
80	14156.5900603	14156.5900603
81	14156.5900603	14156.5900603
82	14156.5900603	14156.5900603
83	14156.5900603	14156.5900603
84	14156.5900603	14156.5900603
85	14156.5900603	14156.5900603
86	14156.5900603	14156.5900603
87	14156.5900603	14156.5900603
88	14156.5900603	14156.5900603
89	14156.5900603	14156.5900603
90	14156.5900603	14156.5900603
91	14156.5900603	14156.5900603
92	14156.5900603	14156.5900603
93	14156.5900603	14156.5900603
94	14156.5900603	14156.5900603
95	14156.5900603	14156.5900603
96	14156.5900603	14156.5900603
97	14156.5900603	14156.5900603
98	14156.5900603	14156.5900603
99	14156.5900603	14156.5900603
100	14156.5900603	14156.5900603
101	14156.5900603	14156.5900603
102	14156.5900603	14156.5900603
103	14156.5900603	14156.5900603
104	14156.5900603	14156.5900603
105	14156.5900603	14156.5900603
106	14156.5900603	14156.5900603
107	14156.5900603	14156.5900603
108	14156.5900603	14156.5900603
109	14156.5900603	14156.5900603
110	14156.5900603	14156.5900603
111	14156.5900603	14156.5900603
112	14156.5900603	14156.5900603
113	14156.5900603	14156.5900603
114	14156.5900603	14156.5900603
115	14156.5900603	14156.5900603
116	14156.5900603	14156.5900603
117	14156.5900603	14156.5900603
118	14156.5900603	14156.5900603
119	14156.5900603	14156.5900603
120	14156.5900603	14156.5900603
121	14156.5900603	14156.5900603
122	14156.5900603	14156.5900603
123	14156.5900603	14156.5900603
124	14156.5900603	14156.5900603
125	14156.5900603	14156.5900603
126	14156.5900603	14156.5900603
127	14156.5900603	14156.5900603
128	14156.5900603	14156.5900603
129	14156.5900603	14156.5900603
130	14156.5900603	14156.5900603
131	14156.5900603	14156.5900603
132	14156.5900603	14156.5900603
133	14156.5900603	14156.5900603
134	14156.5900603	14156.5900603
135	14156.5900603	14156.5900603
136	14156.5900603	14156.5900603
137	14156.5900603	14156.5900603
138	14156.5900603	14156.5900603
139	14156.5900603	14156.5900603
140	14156.5900603	14156.5900603
141	14156.5900603	14156.5900603
142	14156.5900603	14156.5900603
143	14156.5900603	14156.5900603
144	14156.5900603	14156.5900603
145	14156.5900603	14156.5900603
146	14156.5900603	14156.5900603
147	14156.5900603	14156.5900603
148	14156.5900603	14156.5900603
149	14156.5900603	14156.5900603
Best Order: [19, 16, 17, 34, 33, 4, 26, 12, 46, 49, 45, 23, 36, 39, 32, 9, 8, 18, 44, 7, 40, 31, 48, 37, 27, 15, 22, 35, 21, 2, 30, 20, 1, 6, 41, 29, 28, 43, 3, 24, 5, 14, 47, 38, 42, 50, 11, 25, 10, 51, 13, 0]
Best Distance: 14156.5900603
Mutation Rate: 0.00%	Cross over rate: 90.00%
