Generation No.	Best Distance	Average Distance
0	6547.83864647	9381.87535718
1	6547.83864647	9289.03483147
2	6547.83864647	9305.88551242
3	6547.83864647	9330.42870868
4	6547.83864647	9263.5208116
5	6547.83864647	9341.11642581
6	6547.83864647	9245.42192289
7	6547.83864647	9274.15035969
8	6547.83864647	9281.71139457
9	6547.83864647	9269.33316496
10	6547.83864647	9223.70047481
11	6547.83864647	9309.27175002
12	6547.83864647	9358.59841899
13	6547.83864647	9339.6361695
14	6547.83864647	9275.28494538
15	6547.83864647	9238.52915534
16	6547.83864647	9276.37211158
17	6547.83864647	9307.57180347
18	6547.83864647	9288.14179169
19	6547.83864647	9283.68178808
20	6547.83864647	9339.17891124
21	6547.83864647	9384.73938804
22	6547.83864647	9277.70982713
23	6547.83864647	9333.2500014
24	6547.83864647	9312.29558435
25	6547.83864647	9280.80852188
26	6547.83864647	9286.46673795
27	6547.83864647	9364.03268658
28	6547.83864647	9339.90660539
29	6547.83864647	9357.47614632
30	6547.83864647	9391.21088784
31	6547.83864647	9252.6351664
32	6547.83864647	9337.41378011
33	6547.83864647	9304.66117616
34	6547.83864647	9293.72032343
35	6547.83864647	9288.05542637
36	6547.83864647	9336.52429484
37	6547.83864647	9359.17471369
38	6547.83864647	9277.96854157
39	6547.83864647	9310.80463364
40	6547.83864647	9264.1553895
41	6547.83864647	9310.21193338
42	6547.83864647	9168.27107592
43	6547.83864647	9326.06492104
44	6547.83864647	9252.70199216
45	6547.83864647	9369.14555618
46	6547.83864647	9254.87557975
47	6547.83864647	9303.13930008
48	6547.83864647	9314.73129068
49	6547.83864647	9280.79002281
50	6547.83864647	9256.8740134
51	6547.83864647	9314.3972235
52	6547.83864647	9387.46757626
53	6547.83864647	9341.60609824
54	6547.83864647	9306.88175186
55	6547.83864647	9347.55211946
56	6547.83864647	9301.39123628
57	6547.83864647	9352.37725312
58	6547.83864647	9259.18047776
59	6547.83864647	9295.99972115
60	6547.83864647	9378.32153562
61	6547.83864647	9263.02094863
62	6547.83864647	9337.74788995
63	6547.83864647	9398.7384339
64	6547.83864647	9292.82169762
65	6547.83864647	9367.91431582
66	6547.83864647	9427.23222341
67	6547.83864647	9313.83687837
68	6547.83864647	9249.31913597
69	6547.83864647	9357.57473701
70	6547.83864647	9286.57910357
71	6547.83864647	9332.55541426
72	6547.83864647	9361.10362766
73	6547.83864647	9436.90425088
74	6547.83864647	9349.6507738
75	6547.83864647	9397.68534756
76	6547.83864647	9308.21221208
77	6547.83864647	9438.27314526
78	6547.83864647	9343.18523751
79	6547.83864647	9274.36417702
80	6547.83864647	9325.10047752
81	6547.83864647	9274.66769801
82	6547.83864647	9396.72492038
83	6547.83864647	9257.17627978
84	6547.83864647	9329.30865344
85	6547.83864647	9283.69381481
86	6547.83864647	9186.02073825
87	6547.83864647	9309.03054288
88	6547.83864647	9446.33137501
89	6547.83864647	9242.64075179
90	6547.83864647	9297.07776117
91	6547.83864647	9253.48146185
92	6547.83864647	9295.43755536
93	6547.83864647	9398.11721054
94	6547.83864647	9343.13765761
95	6536.00759091	9292.11592896
96	6514.89903408	9386.5311801
97	6514.89903408	9217.92687504
98	6514.89903408	9206.11533687
99	6514.89903408	9187.62325905
100	6514.89903408	9260.49974377
101	6514.89903408	9289.5013192
102	6514.89903408	9371.87018856
103	6514.89903408	9234.55297282
104	6514.89903408	9239.57530321
105	6514.89903408	9252.50308887
106	6514.89903408	9290.11504551
107	6514.89903408	9346.03019187
108	6514.89903408	9418.79347179
109	6514.89903408	9299.41846696
110	6514.89903408	9342.16408272
111	6514.89903408	9281.45119462
112	6514.89903408	9260.55982003
113	6514.89903408	9308.13534617
114	6514.89903408	9347.3498292
115	6514.89903408	9200.51741389
116	6514.89903408	9348.77938289
117	6514.89903408	9288.70208362
118	6514.89903408	9269.11960031
119	6514.89903408	9270.61810761
120	6514.89903408	9218.23078933
121	6514.89903408	9361.95677833
122	6514.89903408	9364.50719154
123	6514.89903408	9458.3434453
124	6514.89903408	9354.0604252
125	6514.89903408	9332.19871416
126	6514.89903408	9352.56127543
127	6514.89903408	9314.0412359
128	6514.89903408	9312.20895287
129	6514.89903408	9309.15018631
130	6514.89903408	9300.10768874
131	6514.89903408	9218.83863934
132	6514.89903408	9369.80132974
133	6514.89903408	9229.2705937
134	6514.89903408	9348.89850864
135	6514.89903408	9221.24845185
136	6514.89903408	9232.40119168
137	6514.89903408	9147.94261514
138	6514.89903408	9333.97655552
139	6514.89903408	9342.91708512
140	6514.89903408	9329.39138357
141	6514.89903408	9369.70672129
142	6514.89903408	9266.33687719
143	6514.89903408	9305.32483069
144	6514.89903408	9273.4114772
145	6514.89903408	9293.88027393
146	6514.89903408	9258.17397643
147	6514.89903408	9228.6367413
148	6514.89903408	9272.13899312
149	6514.89903408	9312.30009438
150	6514.89903408	9237.77570424
151	6514.89903408	9326.24665126
152	6514.89903408	9144.62654428
153	6514.89903408	9292.3049455
154	6514.89903408	9332.5257843
155	6514.89903408	9356.66306748
156	6514.89903408	9196.0327736
157	6514.89903408	9308.68462941
158	6514.89903408	9294.11194148
159	6514.89903408	9295.08360747
160	6514.89903408	9252.21576558
161	6514.89903408	9248.10217345
162	6514.89903408	9299.51000305
163	6514.89903408	9300.48777424
164	6514.89903408	9272.52409167
165	6514.89903408	9345.54486659
166	6514.89903408	9320.54931027
167	6514.89903408	9361.83292417
168	6514.89903408	9381.79873057
169	6514.89903408	9223.49085163
170	6514.89903408	9227.14105136
171	6514.89903408	9320.5935693
172	6514.89903408	9369.48874659
173	6514.89903408	9193.49783648
174	6514.89903408	9273.41691247
175	6514.89903408	9300.07460954
176	6514.89903408	9350.60204014
177	6514.89903408	9280.94641048
178	6514.89903408	9291.21172271
179	6514.89903408	9188.35076323
180	6514.89903408	9317.8588006
181	6514.89903408	9344.50715143
182	6514.89903408	9266.64322792
183	6514.89903408	9340.4218918
184	6514.89903408	9333.84945175
185	6514.89903408	9282.06561435
186	6514.89903408	9317.29641604
187	6514.89903408	9397.11503047
188	6514.89903408	9301.28589391
189	6514.89903408	9262.56662462
190	6514.89903408	9346.04693302
191	6514.89903408	9269.03816078
192	6514.89903408	9433.23429251
193	6514.89903408	9322.32001377
194	6514.89903408	9190.08228948
195	6514.89903408	9303.42244616
196	6514.89903408	9327.13791472
197	6514.89903408	9299.40377949
198	6514.89903408	9339.53377013
199	6514.89903408	9356.48849051
200	6514.89903408	9266.17896807
201	6514.89903408	9344.24152969
202	6514.89903408	9372.4717239
203	6514.89903408	9261.9779842
204	6514.89903408	9390.17808213
205	6514.89903408	9240.7929828
206	6514.89903408	9263.81183981
207	6514.89903408	9211.56180715
208	6514.89903408	9403.81764981
209	6514.89903408	9332.21485665
210	6514.89903408	9365.81171664
211	6514.89903408	9227.41072676
212	6514.89903408	9226.37454891
213	6514.89903408	9271.19137597
214	6514.89903408	9336.4157181
215	6514.89903408	9283.18486436
216	6514.89903408	9249.48090018
217	6514.89903408	9366.54080476
218	6514.89903408	9273.61535323
219	6514.89903408	9246.06853383
220	6514.89903408	9268.74589812
221	6514.89903408	9208.88313637
222	6514.89903408	9252.21313172
223	6514.89903408	9249.94045182
224	6514.89903408	9216.1198141
225	6514.89903408	9311.85660226
226	6514.89903408	9237.26647314
227	6514.89903408	9241.21903
228	6514.89903408	9291.61903581
229	6514.89903408	9213.22255175
230	6514.89903408	9281.76720439
231	6514.89903408	9334.40188721
232	6514.89903408	9262.13206569
233	6514.89903408	9314.1235793
234	6514.89903408	9313.85523495
235	6514.89903408	9292.97464285
236	6514.89903408	9274.18412491
237	6514.89903408	9305.07434839
238	6514.89903408	9312.64038337
239	6514.89903408	9184.85590074
240	6514.89903408	9210.46171841
241	6514.89903408	9294.80832407
242	6514.89903408	9316.92266211
243	6514.89903408	9391.93551538
244	6514.89903408	9220.85780768
245	6514.89903408	9288.81597307
246	6514.89903408	9334.51010295
247	6514.89903408	9257.46576909
248	6514.89903408	9353.15697653
249	6514.89903408	9261.93623884
250	6514.89903408	9384.76633873
251	6514.89903408	9274.20903676
252	6514.89903408	9236.92924381
