Generation No.	Best Distance	Average Distance
0	21246.3230487	26214.1542247
1	19906.3775989	24033.5657335
2	18809.6928789	22633.7530592
3	17935.6210844	21756.5126672
4	15331.8225936	20573.3044595
5	15709.3918896	19579.8169276
6	15135.9860479	18725.5475121
7	14038.304639	18204.5132653
8	13868.7162023	17681.1909739
9	13460.9018343	17351.426605
10	13645.7290439	16896.825033
11	13297.5163669	16901.1731861
12	13291.2882673	16626.6341783
13	12863.1317784	16554.8321145
14	12691.4462641	16231.917926
15	12435.1728789	15968.9860712
16	12338.0971064	15783.7849639
17	12280.5945705	15621.3687803
18	12026.3695145	15495.8416185
19	11915.4871197	15490.5861186
20	11660.4663826	15327.6011825
21	10996.4935861	15290.8970235
22	11029.5387785	15097.2454408
23	11053.6482593	14852.8458079
24	11018.4414257	14838.8989694
25	10931.618506	14819.0847351
26	11031.3294656	14554.5370812
27	10752.8915456	14547.5071069
28	10449.7479618	14464.6957526
29	10384.3624376	14394.8370171
30	10275.0649497	14114.395285
31	10434.6874555	14228.9139356
32	10434.2687972	14206.3683516
33	10376.3738654	14369.856865
34	10212.9643361	14112.1646756
35	10458.5041456	13960.121759
36	10213.2615218	14098.4626531
37	10318.2178363	14415.0739112
38	10318.2178363	14610.5736021
39	9786.73042969	14359.0679182
40	10020.0932179	14395.8104347
41	9984.755778	14579.7848405
42	10138.433351	14548.6340287
43	10086.7053951	14521.295032
44	9932.53330233	14455.4167286
45	10054.112703	14873.5298419
46	9902.80872203	14356.4064852
47	9603.46874575	14269.3917535
48	9781.4884144	14360.3070791
49	9780.9361267	14348.2943655
50	9702.08534932	14301.4855251
51	9677.17539701	14325.0351203
52	9754.78471332	14316.2664121
53	9755.99322372	14175.0227172
54	9789.70059441	13981.1110431
55	9593.27427471	14099.2565311
56	9594.33350371	13578.502895
57	9428.983942	13793.8634944
58	9428.983942	13941.6826719
59	9428.983942	13805.211764
60	9509.90198457	13643.8502629
61	9403.89381427	13607.9465201
62	9603.26941474	13438.9511572
63	9713.90180313	13461.2302192
64	9579.43603573	13524.6697528
65	9579.43603573	13652.8362318
66	9489.00339212	13646.5897238
67	9377.36020592	13725.9859944
68	9377.36020592	13654.7433646
69	9035.9518619	13636.6322827
70	9035.9518619	13392.3198216
71	9035.9518619	13329.3759132
72	9035.9518619	13201.3110193
73	9218.08461785	13326.9830196
74	9218.08461785	13199.3719069
75	9218.08461785	13263.6633641
76	9570.07835313	13041.3605771
77	9322.1336114	13399.4271663
78	9322.1336114	13477.1685928
79	9392.05646348	13437.7816781
80	9392.05646348	13373.4163663
81	9440.57051973	13145.9350845
82	9554.26529305	13395.7623454
83	9556.56361814	13607.9791195
84	9293.83865539	13271.3322401
85	9274.3301422	13336.9304822
86	9376.74036183	13135.3110495
87	9322.32285679	13195.9825447
88	9328.38587829	13427.4232363
89	9469.08406279	13297.5666877
90	9241.98643923	13310.6575303
91	9273.21385522	13523.3560835
92	9412.69093322	13393.2235958
93	9226.50266911	13460.4128718
94	9090.56616337	13299.4421626
95	9083.96629914	13388.076014
96	9412.69093322	13250.2688319
97	9211.74885445	13304.7816371
98	9495.8962589	13257.6328195
99	9317.68306101	13323.2636924
100	9317.68306101	13312.6652181
101	9490.73170973	13415.8484845
102	9556.8358527	13539.5285927
103	9436.51385842	13315.7562875
104	9556.8358527	13416.7614729
105	9349.51112987	13595.9552443
106	9349.51112987	13269.3020082
107	9188.60163494	13217.0445455
108	9402.15660874	13348.1223772
109	9561.92949475	13548.9282243
110	9558.3012253	13815.7156941
111	9635.99730481	13635.1549163
112	9602.00157187	13486.726198
113	9694.4707144	13385.8945153
114	9737.51006407	13816.4414223
115	9576.21132924	13765.789078
116	9754.03696352	13705.7931009
117	9709.24577135	13671.5847175
118	9637.04874398	13580.782574
119	9637.04874398	13366.3056553
120	9621.07308193	13447.2920112
121	9621.07308193	13716.1963675
122	9734.73479247	13633.6154201
123	9821.14025337	13868.2728878
124	9747.71978448	13902.5528724
125	9616.02443316	13717.3049235
126	9800.43508423	13566.9951693
127	9717.44246483	13601.3040177
128	9789.98726506	13331.8667459
129	9654.05075932	13448.7222938
130	9788.12698687	13542.672465
131	9449.98223185	13497.9466826
132	9747.29221205	13702.9905101
133	9763.78517709	13572.6757694
134	9662.98592698	13787.826379
135	9662.98592698	13746.5017053
136	9754.40199786	13654.6296956
137	9754.40199786	13810.4924502
138	9731.34257086	13689.6828633
139	9731.34257086	13706.4734494
140	9732.09196204	13626.6798004
141	9763.94243392	13697.788629
142	9610.6507211	13610.4910485
143	9713.11611174	13640.9606616
144	9713.11611174	13696.4171575
145	9758.62637357	13639.5745395
146	9758.62637357	13910.0292561
147	9929.6612625	13921.9328486
148	9929.6612625	14029.6924109
149	10096.7412918	13932.8747039
Best Order: [28, 29, 41, 6, 1, 22, 49, 19, 15, 47, 36, 39, 33, 43, 37, 14, 5, 4, 3, 42, 8, 9, 7, 40, 44, 18, 2, 16, 20, 30, 17, 21, 31, 48, 0, 35, 34, 38, 45, 23, 24, 25, 26, 46, 13, 51, 12, 27, 11, 50, 10, 32]
Best Distance: 9035.9518619
Mutation Rate: 10.00%	Cross over rate: 100.00%
