Generation No.	Best Distance	Average Distance
0	15085.046067	19648.7370974
1	13368.2428678	17730.9251004
2	12975.0667007	16820.8431105
3	12020.2552169	15618.5005625
4	11200.6025997	14739.8082303
5	10860.6329366	14390.0197846
6	10232.1384863	13635.7156361
7	9899.35065978	13185.687966
8	9899.35065978	13103.8670633
9	9763.33106168	13087.9723219
10	9291.7062735	12837.7959105
11	8865.75528564	12145.9784376
12	8719.04759023	11866.874417
13	8714.99901462	11885.8423424
14	8739.27578275	11978.9899538
15	8627.01959501	11901.3249673
16	8522.05488814	11791.4070489
17	8522.05488814	11751.7614344
18	8468.18444109	11460.7904818
19	8295.22395287	11293.9573893
20	8307.77670716	11141.3843154
21	8187.11105241	11164.7872907
22	8124.07966814	11007.9732139
23	8055.96799718	10872.7193038
24	7993.70384697	11020.9822815
25	7965.71366248	10794.1152094
26	7967.10808018	10905.4692731
27	7965.97419163	10766.245368
28	7912.08033288	10763.5298576
29	7781.68694086	10663.8911525
30	7711.79685112	10766.9903462
31	7586.21170204	10618.9744222
32	7532.16598965	10628.4103212
33	7474.22211544	10499.3611552
34	7400.44490488	10153.1827133
35	7391.51342749	10199.4811248
36	7313.13026721	10205.0857254
37	7209.03026378	10274.6334304
38	7150.95032981	10387.3763648
39	7037.81251547	10385.0685551
40	7005.21505015	10310.5959528
41	7003.85128254	10066.8513268
42	6896.33730549	9755.45345032
43	6896.33730549	9994.99884199
44	6848.7817106	10053.2050733
45	6839.35336913	10195.0986872
46	6824.25279408	9678.33388005
47	6779.57546973	9610.9287809
48	6768.16731263	9767.97133278
49	6711.39773759	9572.26541091
50	6711.39773759	9758.38200977
51	6698.92730331	9820.17507471
52	6696.79186489	9539.6591006
53	6599.73091209	9450.74478743
54	6599.73091209	9468.90595476
55	6547.83864647	9483.88933218
56	6547.83864647	9326.47830871
57	6547.83864647	9460.1287122
58	6547.83864647	9303.9598071
59	6547.83864647	9351.35824324
60	6547.83864647	9424.33623139
61	6547.83864647	9233.3629087
62	6547.83864647	9343.12726085
63	6547.83864647	9329.97429677
64	6547.83864647	9353.23120923
65	6547.83864647	9323.14351145
66	6547.83864647	9371.67703001
67	6547.83864647	9292.55961524
68	6547.83864647	9395.7741745
69	6547.83864647	9393.99575651
70	6547.83864647	9278.83049371
71	6547.83864647	9384.0533005
72	6547.83864647	9272.46575306
73	6547.83864647	9261.98263057
74	6547.83864647	9320.01022311
75	6547.83864647	9369.02097101
76	6547.83864647	9365.67797862
77	6547.83864647	9317.11922035
78	6547.83864647	9258.99367246
79	6547.83864647	9263.3655806
80	6547.83864647	9332.0194448
81	6547.83864647	9404.87828597
82	6547.83864647	9411.25861692
83	6547.83864647	9329.7655784
84	6547.83864647	9383.67642479
85	6547.83864647	9359.01010671
86	6547.83864647	9372.05133077
87	6547.83864647	9406.21463334
88	6547.83864647	9219.6763632
89	6547.83864647	9357.63371002
90	6547.83864647	9357.77416275
91	6547.83864647	9316.04023507
92	6547.83864647	9333.58919378
93	6547.83864647	9251.11789417
94	6547.83864647	9215.85115091
95	6547.83864647	9214.85508405
96	6547.83864647	9286.59152679
97	6547.83864647	9403.03892735
98	6547.83864647	9255.63790011
99	6547.83864647	9274.98583745
100	6547.83864647	9250.61176059
101	6547.83864647	9290.7571159
102	6547.83864647	9414.12205072
103	6547.83864647	9358.1832361
104	6547.83864647	9325.14137442
105	6547.83864647	9405.05109498
106	6547.83864647	9295.66844213
107	6547.83864647	9239.67069344
108	6547.83864647	9267.72337407
109	6547.83864647	9240.30950726
110	6547.83864647	9264.53491825
111	6547.83864647	9314.66265986
112	6547.83864647	9258.03115647
113	6547.83864647	9401.19668866
114	6547.83864647	9299.44305185
115	6547.83864647	9360.77760947
116	6547.83864647	9355.71441977
117	6547.83864647	9326.64510553
118	6547.83864647	9452.43407651
119	6547.83864647	9381.43166007
120	6547.83864647	9332.16722748
121	6547.83864647	9349.09004783
122	6547.83864647	9379.12520307
123	6547.83864647	9355.53293856
124	6547.83864647	9196.84807602
125	6547.83864647	9366.2499848
126	6547.83864647	9382.80889561
127	6547.83864647	9177.06304598
128	6547.83864647	9291.59152777
129	6547.83864647	9414.19910423
130	6547.83864647	9285.51720104
131	6547.83864647	9350.18242192
132	6547.83864647	9275.71003937
133	6547.83864647	9370.58189256
134	6547.83864647	9248.54347659
135	6547.83864647	9228.69100122
136	6547.83864647	9337.87812249
137	6547.83864647	9318.31599976
138	6547.83864647	9284.43472628
139	6547.83864647	9248.815933
140	6547.83864647	9324.66242031
141	6547.83864647	9356.57498377
142	6547.83864647	9319.21512349
143	6547.83864647	9655.90652041
144	6547.83864647	9264.35955032
145	6547.83864647	9381.3870665
146	6547.83864647	9380.8244577
147	6547.83864647	9305.15203962
148	6547.83864647	9396.77068191
149	6547.83864647	9402.76215679
Best Order: [13, 26, 27, 11, 42, 39, 48, 21, 30, 20, 17, 31, 44, 2, 16, 41, 1, 29, 22, 34, 33, 43, 19, 49, 15, 45, 46, 25, 24, 5, 14, 4, 23, 37, 36, 38, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Best Distance: 6547.83864647
Mutation Rate: 10.00%	Cross over rate: 100.00%
